State,One_Severe_Depressive,Severe_Depressive,Youth w/ Substance Use Disorder in the Past Year,GDP ,percent_gdp,gdp_growth
Alabama,13.13,6.4,3.63,228062,0.01,0.02
Alaska,15.21,10.7,4.37,50413,0.00,0.00
Arizona,15.93,12.5,4.08,378297,0.02,0.04
Arkansas,14.74,10.7,4.11,130709,0.01,0.01
California,13.7,8.7,4.04,3120386,0.15,0.04
Colorado,13.99,8.7,5.12,394271,0.02,0.04
Connecticut,14.24,9,3.86,283601,0.01,0.01
Delaware,13.05,9.3,4.15,76468,0.00,0.00
Florida,13.17,9.3,4.34,1111614,0.05,0.04
Georgia,12.52,9.3,3.2,627667,0.03,0.03
Hawaii,12.93,8.5,4.04,89866,0.00,0.01
Idaho,16.7,12.7,3.97,85552,0.00,0.04
Illinois,14.86,11,4.04,875671,0.04,0.02
Indiana,15.71,12.7,3.37,379293,0.02,0.02
Iowa,15.09,9.8,4.21,195353,0.01,0.01
Kansas,14.95,9.9,3.63,175465,0.01,0.02
Kentucky,13.61,9.6,3.77,213169,0.01,0.01
Louisiana,12.84,9.2,3.58,244577,0.01,0.01
Maine,15.45,13.5,4.59,67129,0.00,0.02
Maryland,13.02,9.8,3.26,427616,0.02,0.02
Massachusetts,13.86,8.5,3.92,590307,0.03,0.03
Michigan,15.31,11.3,3.64,524828,0.03,0.03
Minnesota,14.04,9.8,3.86,379388,0.02,0.02
Mississippi,12.15,6.3,3.3,115900,0.01,0.01
Missouri,14.78,10.4,3.69,325841,0.02,0.02
Montana,14.4,10.4,5.18,51934,0.00,0.01
Nebraska,14.2,9,3.69,129761,0.01,0.02
Nevada,15.11,11.8,5.09,175509,0.01,0.03
New Hampshire,15.08,8.7,4.41,86319,0.00,0.02
New Jersey,11.95,8.1,3.42,625659,0.03,0.02
New Mexico,17.43,13.1,4.8,100777,0.01,0.02
New York,11.4,7.8,3.41,1705127,0.08,0.02
North Carolina,15.05,12.6,3.57,594126,0.03,0.03
North Dakota,13.75,8.5,4.38,54044,0.00,0.03
Ohio,13.73,9.1,3.97,683460,0.03,0.02
Oklahoma,16.48,12.7,4.19,186883,0.01,0.02
Oregon,17.57,13.1,4.65,253849,0.01,0.03
Pennsylvania,11.88,7.1,3.42,788500,0.04,0.02
Rhode Island,13.4,9.5,4.05,61081,0.00,0.01
South Carolina,13.56,9.8,3.95,245473,0.01,0.02
South Dakota,12.53,8,4.78,55243,0.00,0.01
Tennessee,12.27,9.2,3.91,369063,0.02,0.03
Texas,13.2,9.2,3.24,1772132,0.08,0.03
Utah,16.64,11.9,3.16,198630,0.01,0.04
Vermont,14.65,10.7,5.61,33278,0.00,0.01
Virginia,14.28,10.2,3.56,557986,0.03,0.03
Washington,15.66,10.3,5.01,632013,0.03,0.06
West Virginia,14.66,12.5,4.08,74511,0.00,0.02
Wisconsin,15.31,13.4,4.07,344500,0.02,0.03
Wyoming,14.91,12,4.63,36000,0.00,0.00
